Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location
12,51,443,1118846984000,4.0169999999999995,29.877,6451143.222999997,1873357.3769999999,14.5,5.9,2,45.07,0.0,1,,,,,,,10,0,55.01,1.22,us-101
13,51,432,1118846984000,16.412,138.918,6451207.662000001,1873268.321,16.0,4.9,2,33.73,-4.17,2,,,,,,,2,22,41.04,1.22,us-101
10,51,436,1118846984000,4.07,84.883,6451179.96,1873316.408,17.0,6.9,2,39.01,-6.84,1,,,,,,,0,12,0.0,0.0,us-101
22,51,441,1118846984000,14.876,77.945,6451167.2710000025,1873314.3630000001,16.5,6.4,2,30.0,0.0,2,,,,,,,13,0,60.97,2.03,us-101
2,51,437,1118846984000,14.72,179.959,6451237.1439999975,1873239.374,14.5,4.9,2,39.2,-3.52,2,,,,,,,0,13,0.0,0.0,us-101
2,52,437,1118846984100,14.508,183.862,6451239.988,1873236.708,14.5,4.9,2,38.89,-3.28,2,,,,,,,0,13,0.0,0.0,us-101
13,52,432,1118846984100,16.453,142.265,6451209.9010000015,1873265.854,16.0,4.9,2,33.31,-3.49,2,,,,,,,2,22,41.6,1.25,us-101
10,52,436,1118846984100,4.038,88.729,6451182.562999999,1873313.5590000001,17.0,6.9,2,38.58,-3.22,1,,,,,,,0,12,0.0,0.0,us-101
22,52,441,1118846984100,14.86,80.945,6451169.288,1873312.142,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,61.32,2.04,us-101
12,52,443,1118846984100,3.9939999999999998,34.376999999999995,6451146.248,1873354.045,14.5,5.9,2,45.07,0.0,1,,,,,,,10,0,54.35,1.21,us-101
2,53,437,1118846984200,14.331,187.71599999999998,6451242.77,1873234.0569999998,14.5,4.9,2,38.73,-0.33,2,,,,,,,0,13,0.0,0.0,us-101
13,53,432,1118846984200,16.493,145.582,6451212.153,1873263.374,16.0,4.9,2,32.91,-4.34,2,,,,,,,2,22,42.13,1.28,us-101
10,53,436,1118846984200,4.024,92.529,6451185.118,1873310.744,17.0,6.9,2,38.58,3.24,1,,,,,,,0,12,0.0,0.0,us-101
22,53,441,1118846984200,14.845,83.96,6451171.304,1873309.9209999999,16.5,6.4,2,29.86,-2.23,2,,,,,,,13,26,61.62,2.06,us-101
12,53,443,1118846984200,3.971,38.876,6451149.272000001,1873350.7130000002,14.5,5.9,2,45.07,0.0,1,,,,,,,10,0,53.65,1.19,us-101
2,54,437,1118846984300,14.24,191.56099999999998,6451245.501,1873231.336,14.5,4.9,2,38.88,3.49,2,,,,,,,0,13,0.0,0.0,us-101
13,54,432,1118846984300,16.543,148.847,6451214.351,1873260.938,16.0,4.9,2,32.56,-3.51,2,,,,,,,2,22,42.71,1.31,us-101
10,54,436,1118846984300,4.0569999999999995,96.374,6451187.722,1873307.895,17.0,6.9,2,39.03,7.09,1,,,,,,,0,12,0.0,0.0,us-101
22,54,441,1118846984300,14.829,86.946,6451173.321,1873307.7,16.5,6.4,2,29.54,-4.18,2,,,,,,,13,26,61.9,2.1,us-101
12,54,443,1118846984300,3.948,43.376999999999995,6451152.297,1873347.381,14.5,5.9,2,45.07,0.0,1,,,,,,,10,0,53.0,1.18,us-101
2,55,437,1118846984400,14.309000000000001,195.455,6451248.125,1873228.494,14.5,4.9,2,39.28,5.0,2,,,,,,,0,13,0.0,0.0,us-101
13,55,432,1118846984400,16.570999999999998,152.064,6451216.502,1873258.584,16.0,4.9,2,32.43,0.23,2,,,,,,,2,22,43.39,1.34,us-101
10,55,436,1118846984400,4.119,100.322,6451190.374,1873304.9540000001,17.0,6.9,2,39.61,5.32,1,,,,,,,0,12,0.0,0.0,us-101
22,55,441,1118846984400,14.814,89.867,6451175.337,1873305.4780000001,16.5,6.4,2,29.31,-2.0,2,,,,,,,13,26,62.2,2.12,us-101
12,55,443,1118846984400,3.924,47.87600000000001,6451155.3220000025,1873344.05,14.5,5.9,2,45.07,0.0,1,,,,,,,10,0,52.45,1.16,us-101
2,56,437,1118846984500,14.427999999999999,199.41400000000002,6451250.788,1873225.539,14.5,4.9,2,39.68,3.76,2,,,,,,,0,13,0.0,0.0,us-101
13,56,432,1118846984500,16.6,155.293,6451218.652000003,1873256.23,16.0,4.9,2,32.49,2.16,2,,,,,,,2,22,44.12,1.36,us-101
10,56,436,1118846984500,4.167,104.346,6451193.083,1873301.971,17.0,6.9,2,39.85,-0.24,1,,,,,,,0,12,0.0,0.0,us-101
22,56,441,1118846984500,14.808,92.766,6451177.352999999,1873303.257,16.5,6.4,2,29.31,2.0,2,,,,,,,13,26,62.53,2.13,us-101
12,56,443,1118846984500,3.9789999999999996,52.356,6451158.267999997,1873340.689,14.5,5.9,2,45.07,1.61,1,,,,,,,10,0,51.99,1.15,us-101
2,57,437,1118846984600,14.54,203.417,6451253.489,1873222.554,14.5,4.9,2,39.94,1.29,2,,,,,,,0,13,0.0,0.0,us-101
13,57,432,1118846984600,16.65,158.58700000000005,6451220.871,1873253.771,16.0,4.9,2,32.33,-3.54,2,,,,,,,2,22,44.83,1.39,us-101
10,57,436,1118846984600,4.217,108.37100000000001,6451195.791,1873298.987,17.0,6.9,2,39.52,-6.32,1,,,,,,,0,12,0.0,0.0,us-101
22,57,441,1118846984600,14.844000000000001,95.68700000000001,6451179.37,1873301.0359999998,16.5,6.4,2,29.54,4.18,2,,,,,,,13,26,62.9,2.13,us-101
12,57,443,1118846984600,3.989,56.867,6451161.278,1873337.323,14.5,5.9,2,45.24,2.09,1,,,,,,,10,0,51.5,1.14,us-101
2,58,437,1118846984700,14.645999999999999,207.43,6451256.177,1873219.592,14.5,4.9,2,40.02,-0.22,2,,,,,,,0,13,0.0,0.0,us-101
13,58,432,1118846984700,16.726,161.849,6451223.075,1873251.29,16.0,4.9,2,31.6,-11.2,2,,,,,,,2,22,45.58,1.44,us-101
10,58,436,1118846984700,4.302,112.325,6451198.43,1873296.025,17.0,6.9,2,38.67,-11.14,1,,,,,,,0,12,0.0,0.0,us-101
22,58,441,1118846984700,14.880999999999998,98.67299999999999,6451181.386,1873298.815,16.5,6.4,2,29.86,2.23,2,,,,,,,13,26,63.18,2.12,us-101
12,58,443,1118846984700,3.971,61.405,6451164.33,1873333.9530000002,14.5,5.9,2,45.4,1.33,1,,,,,,,10,0,50.92,1.12,us-101
2,59,437,1118846984800,14.751,211.43099999999998,6451258.866,1873216.63,14.5,4.9,2,40.0,-0.21,2,,,,,,,0,13,0.0,0.0,us-101
13,59,432,1118846984800,16.768,164.959,6451225.209,1873248.935,16.0,4.9,2,30.61,-11.2,2,,,,,,,2,22,46.47,1.52,us-101
10,59,436,1118846984800,4.365,116.13,6451200.986000001,1873293.185,17.0,6.9,2,37.5,-11.2,1,,,,,,,0,12,0.0,0.0,us-101
22,59,441,1118846984800,14.918,101.68799999999999,6451183.403,1873296.593,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.27,2.11,us-101
12,59,443,1118846984800,3.9410000000000003,65.959,6451167.397000001,1873330.584,14.5,5.9,2,45.49,0.31,1,,,,,,,10,0,50.17,1.1,us-101
2,60,437,1118846984900,14.856,215.428,6451261.554,1873213.669,14.5,4.9,2,39.99,0.0,2,,,,,,,0,13,0.0,0.0,us-101
13,60,432,1118846984900,16.774,167.924,6451227.2760000015,1873246.715,16.0,4.9,2,29.86,-4.32,2,,,,,,,2,22,47.5,1.59,us-101
10,60,436,1118846984900,4.393,119.823,6451203.471,1873290.4719999998,17.0,6.9,2,36.34,-10.89,1,,,,,,,0,12,0.0,0.0,us-101
22,60,441,1118846984900,14.954,104.68799999999999,6451185.419,1873294.372,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.24,2.11,us-101
12,60,443,1118846984900,3.918,70.513,6451170.455,1873327.215,14.5,5.9,2,45.51,-0.06,1,,,,,,,10,0,49.31,1.08,us-101
2,61,437,1118846985000,14.962,219.42700000000002,6451264.243,1873210.707,14.5,4.9,2,39.99,0.0,2,,,,,,,0,13,0.0,0.0,us-101
13,61,432,1118846985000,16.852,170.84099999999995,6451229.272000001,1873244.5159999998,16.0,4.9,2,29.65,1.98,2,,,,,,,2,22,48.59,1.64,us-101
10,61,436,1118846985000,4.399,123.37200000000001,6451205.873,1873287.881,17.0,6.9,2,35.5,-6.19,1,,,,,,,0,12,0.0,0.0,us-101
22,61,441,1118846985000,14.99,107.68799999999999,6451187.436000003,1873292.1509999998,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.15,2.11,us-101
12,61,443,1118846985000,3.8939999999999997,75.06,6451173.5139999995,1873323.846,14.5,5.9,2,45.53,0.38,1,,,,,,,10,0,48.31,1.06,us-101
2,62,437,1118846985100,15.067,223.46200000000002,6451266.932,1873207.745,14.5,4.9,2,39.65,-5.35,2,,,,,,,0,13,0.0,0.0,us-101
13,62,432,1118846985100,16.930999999999994,173.80900000000003,6451231.289,1873242.294,16.0,4.9,2,29.83,2.29,2,,,,,,,2,22,49.65,1.66,us-101
10,62,436,1118846985100,4.441,126.861,6451208.206,1873285.311,17.0,6.9,2,35.08,-1.86,1,,,,,,,0,12,0.0,0.0,us-101
22,62,441,1118846985100,15.027000000000001,110.68700000000001,6451189.452000001,1873289.93,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.12,2.1,us-101
12,62,443,1118846985100,3.8710000000000004,79.624,6451176.5720000025,1873320.477,14.5,5.9,2,45.48,-0.89,1,,,,,,,10,0,47.24,1.04,us-101
2,63,437,1118846985200,15.172,227.422,6451269.62,1873204.784,14.5,4.9,2,38.92,-9.43,2,,,,,,,0,13,0.0,0.0,us-101
13,63,432,1118846985200,17.01,176.82,6451233.305,1873240.073,16.0,4.9,2,29.97,0.13,2,,,,,,,2,22,50.6,1.69,us-101
10,63,436,1118846985200,4.484,130.344,6451210.557999997,1873282.72,17.0,6.9,2,34.96,0.19,1,,,,,,,0,12,0.0,0.0,us-101
22,63,441,1118846985200,15.064,113.68700000000001,6451191.4679999985,1873287.708,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.13,2.1,us-101
12,63,443,1118846985200,3.8480000000000003,84.197,6451179.63,1873317.108,14.5,5.9,2,45.12,-5.45,1,,,,,,,10,0,46.15,1.02,us-101
2,64,437,1118846985300,15.277000000000001,231.231,6451272.3089999985,1873201.822,14.5,4.9,2,38.52,-2.79,2,,,,,,,0,13,0.0,0.0,us-101
13,64,432,1118846985300,17.089000000000002,179.821,6451235.3220000025,1873237.852,16.0,4.9,2,29.96,-0.31,2,,,,,,,2,22,51.41,1.72,us-101
10,64,436,1118846985300,4.527,133.84,6451212.911,1873280.128,17.0,6.9,2,34.98,0.26,1,,,,,,,0,12,0.0,0.0,us-101
22,64,441,1118846985300,15.1,116.68700000000001,6451193.485,1873285.487,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.13,2.1,us-101
12,64,443,1118846985300,3.84,88.71700000000001,6451182.71,1873313.6919999998,14.5,5.9,2,44.31,-10.91,1,,,,,,,10,0,45.12,1.02,us-101
2,65,437,1118846985400,15.449000000000002,235.00099999999998,6451274.98,1873198.862,14.5,4.9,2,38.8,8.59,2,,,,,,,0,13,0.0,0.0,us-101
13,65,432,1118846985400,17.160999999999998,182.80900000000003,6451237.346,1873235.632,16.0,4.9,2,30.0,0.7,2,,,,,,,2,22,52.19,1.74,us-101
10,65,436,1118846985400,4.569,137.341,6451215.2629999975,1873277.5369999998,17.0,6.9,2,35.0,0.0,1,,,,,,,0,12,0.0,0.0,us-101
22,65,441,1118846985400,15.137,119.686,6451195.501,1873283.2659999998,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.12,2.1,us-101
12,65,443,1118846985400,3.85,93.081,6451185.669,1873310.407,14.5,5.9,2,43.07,-11.2,1,,,,,,,10,23,44.26,1.03,us-101
2,66,437,1118846985500,15.64,238.90900000000002,6451277.7710000025,1873195.899,14.5,4.9,2,39.72,11.2,2,,,,,,,0,13,0.0,0.0,us-101
13,66,432,1118846985500,17.254,185.796,6451239.337,1873233.417,16.0,4.9,2,30.22,3.32,2,,,,,,,2,22,53.11,1.76,us-101
10,66,436,1118846985500,4.612,140.841,6451217.616,1873274.945,17.0,6.9,2,35.0,0.0,1,,,,,,,0,12,0.0,0.0,us-101
22,66,441,1118846985500,15.173,122.686,6451197.517999997,1873281.045,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.11,2.1,us-101
12,66,443,1118846985500,3.878,97.316,6451188.539,1873307.28,14.5,5.9,2,41.62,-11.2,1,,,,,,,10,23,43.53,1.05,us-101
2,67,437,1118846985600,15.807,242.958,6451280.605,1873192.927,14.5,4.9,2,40.76,7.11,2,,,,,,,0,13,0.0,0.0,us-101
13,67,432,1118846985600,17.343,188.81599999999997,6451241.347999997,1873231.187,16.0,4.9,2,30.69,6.23,2,,,,,,,2,22,54.14,1.76,us-101
10,67,436,1118846985600,4.654,144.341,6451219.969,1873272.354,17.0,6.9,2,35.0,0.0,1,,,,,,,0,12,0.0,0.0,us-101
22,67,441,1118846985600,15.21,125.686,6451199.534,1873278.823,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.13,2.1,us-101
12,67,443,1118846985600,3.872,101.41,6451191.327000001,1873304.292,14.5,5.9,2,40.49,-9.26,1,,,,,,,10,23,42.93,1.06,us-101
2,68,437,1118846985700,15.907,247.137,6451283.539,1873189.9519999998,14.5,4.9,2,41.07,-2.06,2,,,,,,,0,13,0.0,0.0,us-101
13,68,432,1118846985700,17.386,191.90400000000002,6451243.46,1873228.918,16.0,4.9,2,31.36,7.74,2,,,,,,,2,22,55.23,1.76,us-101
10,68,436,1118846985700,4.697,147.841,6451222.321,1873269.7619999999,17.0,6.9,2,35.0,0.0,1,,,,,,,0,12,0.0,0.0,us-101
22,68,441,1118846985700,15.245999999999999,128.686,6451201.551,1873276.602,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.22,2.11,us-101
12,68,443,1118846985700,3.855,105.37100000000001,6451193.991,1873301.4530000002,14.5,5.9,2,39.89,-2.72,1,,,,,,,10,23,42.47,1.06,us-101
2,69,437,1118846985800,16.075,251.247,6451286.373,1873186.98,14.5,4.9,2,40.8,-3.98,2,,,,,,,0,13,0.0,0.0,us-101
13,69,432,1118846985800,17.41,195.084,6451245.641,1873226.604,16.0,4.9,2,32.08,6.86,2,,,,,,,2,22,56.16,1.75,us-101
10,69,436,1118846985800,4.739,151.341,6451224.674,1873267.1709999999,17.0,6.9,2,35.0,0.0,1,,,,,,,0,12,0.0,0.0,us-101
22,69,441,1118846985800,15.282,131.685,6451203.567000003,1873274.381,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.4,2.11,us-101
12,69,443,1118846985800,3.897,109.314,6451196.6460000025,1873298.5369999998,14.5,5.9,2,39.77,1.62,1,,,,,,,10,23,42.03,1.06,us-101
2,70,437,1118846985900,16.266,255.292,6451289.164,1873184.0159999998,14.5,4.9,2,40.59,-1.24,2,,,,,,,0,13,0.0,0.0,us-101
13,70,432,1118846985900,17.402,198.343,6451247.8960000025,1873224.26,16.0,4.9,2,32.62,4.33,2,,,,,,,2,22,56.95,1.75,us-101
10,70,436,1118846985900,4.782,154.84,6451227.0260000015,1873264.5790000001,17.0,6.9,2,35.0,0.0,1,,,,,,,0,12,0.0,0.0,us-101
22,70,441,1118846985900,15.318,134.685,6451205.584,1873272.16,16.5,6.4,2,30.0,0.0,2,,,,,,,13,26,63.66,2.12,us-101
12,70,443,1118846985900,3.9530000000000003,113.294,6451199.347,1873295.552,14.5,5.9,2,39.92,1.88,1,,,,,,,10,23,41.55,1.04,us-101
2,71,437,1118846986000,16.549,259.31,6451291.818,1873181.0580000002,14.5,4.9,2,40.75,4.24,2,,,,,,,0,13,0.0,0.0,us-101
13,71,432,1118846986000,17.323,201.644,6451250.251,1873221.9119999998,16.0,4.9,2,32.93,1.7,2,,,,,,,2,22,57.67,1.75,us-101
10,71,436,1118846986000,4.824,158.344,6451229.379,1873261.9880000001,17.0,6.9,2,34.96,-0.6,1,,,,,,,0,12,0.0,0.0,us-101
22,71,441,1118846986000,15.356,137.687,6451207.6,1873269.938,16.5,6.4,2,29.98,-0.26,2,,,,,,,13,26,63.96,2.13,us-101
12,71,443,1118846986000,4.0,117.30799999999999,6451202.036,1873292.591,14.5,5.9,2,40.05,0.26,1,,,,,,,10,23,41.04,1.02,us-101
2,72,437,1118846986100,16.72,263.372,6451294.631,1873178.102,14.5,4.9,2,41.38,9.03,2,,,,,,,0,13,0.0,0.0,us-101
13,72,432,1118846986100,17.261,204.958,6451252.58,1873219.5690000001,16.0,4.9,2,33.04,0.07,2,,,,,,,2,22,58.41,1.77,us-101
10,72,436,1118846986100,4.867,161.84,6451231.7310000025,1873259.396,17.0,6.9,2,34.87,-1.13,1,,,,,,,0,12,0.0,0.0,us-101
22,72,441,1118846986100,15.392000000000001,140.683,6451209.616,1873267.717,16.5,6.4,2,29.97,-0.15,2,,,,,,,13,26,64.27,2.14,us-101
12,72,443,1118846986100,4.05,121.33,6451204.7239999985,1873289.629,14.5,5.9,2,39.93,-2.08,1,,,,,,,10,23,40.51,1.01,us-101
2,73,437,1118846986200,16.817999999999998,267.54,6451297.565,1873175.13,14.5,4.9,2,42.37,11.08,2,,,,,,,0,13,0.0,0.0,us-101
13,73,432,1118846986200,17.197,208.262,6451254.909,1873217.227,16.0,4.9,2,33.06,0.16,2,,,,,,,2,22,59.28,1.79,us-101
10,73,436,1118846986200,4.909,165.32,6451234.084,1873256.805,17.0,6.9,2,34.8,-0.76,1,,,,,,,0,12,0.0,0.0,us-101
22,73,441,1118846986200,15.427999999999999,143.668,6451211.6329999985,1873265.496,16.5,6.4,2,30.06,1.49,2,,,,,,,13,26,64.59,2.15,us-101
12,73,443,1118846986200,4.098,125.339,6451207.432999997,1873286.646,14.5,5.9,2,39.49,-6.17,1,,,,,,,10,23,39.98,1.01,us-101
2,74,437,1118846986300,16.862000000000002,271.842,6451300.6170000015,1873172.119,14.5,4.9,2,43.37,9.57,2,,,,,,,0,13,0.0,0.0,us-101
13,74,432,1118846986300,17.135,211.57,6451257.238,1873214.884,16.0,4.9,2,33.06,0.0,2,,,,,,,2,22,60.27,1.82,us-101
10,74,436,1118846986300,4.971,168.78900000000004,6451236.436000003,1873254.2140000002,17.0,6.9,2,34.78,0.36,1,,,,,,,0,12,0.0,0.0,us-101
22,74,441,1118846986300,15.465,146.664,6451213.629,1873263.2969999998,16.5,6.4,2,30.35,4.28,2,,,,,,,13,26,64.91,2.14,us-101
12,74,443,1118846986300,4.185,129.289,6451210.071,1873283.6830000002,14.5,5.9,2,38.66,-10.87,1,,,,,,,10,23,39.5,1.02,us-101
2,75,437,1118846986400,16.846,276.256,6451303.802,1873169.063,14.5,4.9,2,44.06,4.97,2,,,,,,,0,13,0.0,0.0,us-101
13,75,432,1118846986400,17.07,214.894,6451259.568,1873212.542,16.0,4.9,2,32.87,-2.94,2,,,,,,,2,22,61.36,1.87,us-101
10,75,436,1118846986400,5.0569999999999995,172.253,6451238.796,1873251.624,17.0,6.9,2,34.93,2.59,1,,,,,,,0,12,0.0,0.0,us-101
22,75,441,1118846986400,15.489,149.701,6451215.682,1873261.054,16.5,6.4,2,30.9,6.98,2,,,,,,,13,26,65.19,2.11,us-101
12,75,443,1118846986400,4.246,133.096,6451212.628,1873280.844,14.5,5.9,2,37.5,-11.2,1,,,,,,,10,23,39.16,1.04,us-101
2,76,437,1118846986500,16.82,280.724,6451307.061000003,1873165.948,14.5,4.9,2,44.29,-0.65,2,,,,,,,0,13,0.0,0.0,us-101
13,76,432,1118846986500,17.012,218.196,6451261.921,1873210.168,16.0,4.9,2,32.34,-7.58,2,,,,,,,2,22,62.53,1.93,us-101
10,76,436,1118846986500,5.169,175.74099999999999,6451241.115,1873249.0380000002,17.0,6.9,2,35.35,5.41,1,,,,,,,0,12,0.0,0.0,us-101
22,76,441,1118846986500,15.526,152.816,6451217.7820000015,1873258.7419999999,16.5,6.4,2,31.66,8.36,2,,,,,,,13,26,65.38,2.07,us-101
12,76,443,1118846986500,4.275,136.789,6451215.113,1873278.13,14.5,5.9,2,36.34,-10.9,1,,,,,,,10,23,38.95,1.07,us-101
2,77,437,1118846986600,16.777,285.172,6451310.284,1873162.8930000002,14.5,4.9,2,44.13,-3.5,2,,,,,,,0,13,0.0,0.0,us-101
13,77,432,1118846986600,16.997,221.416,6451264.162000001,1873207.8480000002,16.0,4.9,2,31.45,-10.97,2,,,,,,,2,22,63.76,2.03,us-101
10,77,436,1118846986600,5.242000000000001,179.285,6451243.502,1873246.439,17.0,6.9,2,36.02,8.17,1,,,,,,,0,12,0.0,0.0,us-101
22,77,441,1118846986600,15.562999999999999,156.02,6451219.932999997,1873256.375,16.5,6.4,2,32.51,8.82,2,,,,,,,13,26,65.4,2.01,us-101
12,77,443,1118846986600,4.2810000000000015,140.338,6451217.515,1873275.539,14.5,5.9,2,35.5,-6.18,1,,,,,,,10,23,38.95,1.1,us-101
2,78,437,1118846986700,16.601,289.558,6451313.552,1873159.979,14.5,4.9,2,43.9,-1.76,2,,,,,,,0,13,0.0,0.0,us-101
13,78,432,1118846986700,16.945,224.50099999999998,6451266.324,1873205.6630000002,16.0,4.9,2,30.46,-9.76,2,,,,,,,2,22,65.06,2.14,us-101
10,78,436,1118846986700,5.2589999999999995,182.915,6451246.006,1873243.7980000002,17.0,6.9,2,36.89,9.73,1,,,,,,,0,12,0.0,0.0,us-101
22,78,441,1118846986700,15.605,159.33100000000005,6451222.1510000015,1873253.93,16.5,6.4,2,33.25,6.52,2,,,,,,,13,26,65.17,1.96,us-101
12,78,443,1118846986700,4.323,143.829,6451219.847999997,1873272.969,14.5,5.9,2,35.07,-2.03,1,,,,,,,10,23,39.09,1.11,us-101
2,79,437,1118846986800,16.381,293.914,6451316.83,1873157.118,14.5,4.9,2,43.92,2.12,2,,,,,,,0,13,0.0,0.0,us-101
13,79,432,1118846986800,16.884,227.502,6451268.418,1873203.563,16.0,4.9,2,29.42,-10.07,2,,,,,,,2,22,66.41,2.26,us-101
10,79,436,1118846986800,5.2379999999999995,186.65900000000002,6451248.609,1873241.108,17.0,6.9,2,37.79,8.63,1,,,,,,,0,12,0.0,0.0,us-101
22,79,441,1118846986800,15.647,162.718,6451224.42,1873251.429,16.5,6.4,2,33.63,1.74,2,,,,,,,13,26,64.78,1.93,us-101
12,79,443,1118846986800,4.3660000000000005,147.31,6451222.2,1873270.378,14.5,5.9,2,34.93,-0.05,1,,,,,,,10,23,39.35,1.13,us-101
2,80,437,1118846986900,16.205,298.301,6451320.097999997,1873154.2040000001,14.5,4.9,2,44.21,4.33,2,,,,,,,0,13,0.0,0.0,us-101
13,80,432,1118846986900,16.909000000000002,230.386,6451270.3939999975,1873201.4630000002,16.0,4.9,2,28.4,-10.0,2,,,,,,,2,22,67.92,2.39,us-101
10,80,436,1118846986900,5.166,190.5,6451251.312999999,1873238.3869999999,17.0,6.9,2,38.48,5.65,1,,,,,,,0,12,0.0,0.0,us-101
22,80,441,1118846986900,15.703,166.115,6451226.756,1873248.836,16.5,6.4,2,33.66,-1.94,2,,,,,,,13,26,64.27,1.91,us-101
12,80,443,1118846986900,4.402,150.793,6451224.56,1873267.7880000002,14.5,5.9,2,35.02,1.35,1,,,,,,,10,23,39.71,1.13,us-101
